token,date,time,open,high,low,close
chainlink,2025-01-04,04:00:00,23.41,23.47,23.19,23.25
chainlink,2025-01-04,08:00:00,23.2,23.31,23.06,23.29
chainlink,2025-01-04,12:00:00,23.26,23.26,22.92,23.07
chainlink,2025-01-04,16:00:00,23.08,23.81,23.08,23.24
chainlink,2025-01-04,20:00:00,23.21,23.71,23.21,23.66
chainlink,2025-01-05,00:00:00,23.65,23.96,23.63,23.63
chainlink,2025-01-05,04:00:00,23.61,23.72,23.27,23.29
chainlink,2025-01-05,08:00:00,23.31,23.74,23.31,23.55
chainlink,2025-01-05,12:00:00,23.53,23.53,23.09,23.09
chainlink,2025-01-05,16:00:00,23.09,23.33,22.91,23.29
chainlink,2025-01-05,20:00:00,23.28,23.44,23.16,23.33
chainlink,2025-01-06,00:00:00,23.35,23.68,23.27,23.65
chainlink,2025-01-06,04:00:00,23.62,23.98,23.08,23.98
chainlink,2025-01-06,08:00:00,24.0,24.13,23.56,23.56
chainlink,2025-01-06,12:00:00,23.54,23.77,23.39,23.77
chainlink,2025-01-06,16:00:00,23.79,24.44,23.58,24.38
chainlink,2025-01-06,20:00:00,24.36,24.63,23.87,23.95
polkadot,2024-12-31,00:00:00,6.85,6.92,6.62,6.69
polkadot,2024-12-31,04:00:00,6.69,6.69,6.6,6.6
polkadot,2024-12-31,08:00:00,6.6,6.62,6.57,6.6
polkadot,2024-12-31,12:00:00,6.6,6.76,6.6,6.68
polkadot,2024-12-31,16:00:00,6.69,6.9,6.69,6.84
polkadot,2024-12-31,20:00:00,6.84,6.84,6.64,6.69
polkadot,2025-01-01,00:00:00,6.69,6.7,6.62,6.64
polkadot,2025-01-01,04:00:00,6.64,6.73,6.64,6.65
polkadot,2025-01-01,08:00:00,6.65,6.66,6.61,6.64
polkadot,2025-01-01,12:00:00,6.64,6.64,6.52,6.6
polkadot,2025-01-01,16:00:00,6.6,6.75,6.6,6.75
polkadot,2025-01-01,20:00:00,6.78,6.99,6.73,6.98
polkadot,2025-01-02,00:00:00,6.98,7.12,6.98,7.01
polkadot,2025-01-02,04:00:00,7.02,7.2,7.02,7.16
polkadot,2025-01-02,08:00:00,7.16,7.23,7.13,7.21
polkadot,2025-01-02,12:00:00,7.22,7.33,7.18,7.29
polkadot,2025-01-02,16:00:00,7.29,7.32,7.17,7.18
polkadot,2025-01-02,20:00:00,7.18,7.23,7.12,7.17
polkadot,2025-01-03,00:00:00,7.18,7.19,7.11,7.17
polkadot,2025-01-03,04:00:00,7.17,7.29,7.14,7.26
polkadot,2025-01-03,08:00:00,7.3,7.3,7.2,7.22
polkadot,2025-01-03,12:00:00,7.22,7.75,7.22,7.69
polkadot,2025-01-03,16:00:00,7.69,7.89,7.69,7.88
polkadot,2025-01-03,20:00:00,7.87,7.94,7.75,7.75
polkadot,2025-01-04,00:00:00,7.73,7.76,7.65,7.74
polkadot,2025-01-04,04:00:00,7.75,7.8,7.65,7.77
polkadot,2025-01-04,08:00:00,7.77,7.8,7.73,7.76
polkadot,2025-01-04,12:00:00,7.75,7.75,7.64,7.68
polkadot,2025-01-04,16:00:00,7.69,7.85,7.65,7.66
polkadot,2025-01-04,20:00:00,7.67,7.73,7.67,7.69
polkadot,2025-01-05,00:00:00,7.69,7.73,7.66,7.7
polkadot,2025-01-05,04:00:00,7.69,7.69,7.6,7.61
polkadot,2025-01-05,08:00:00,7.61,7.7,7.61,7.66
polkadot,2025-01-05,12:00:00,7.65,7.65,7.53,7.55
polkadot,2025-01-05,16:00:00,7.55,7.6,7.48,7.58
polkadot,2025-01-05,20:00:00,7.57,7.62,7.55,7.6
polkadot,2025-01-06,00:00:00,7.6,7.71,7.58,7.68
polkadot,2025-01-06,04:00:00,7.68,7.8,7.56,7.79
polkadot,2025-01-06,08:00:00,7.8,7.82,7.69,7.71
polkadot,2025-01-06,12:00:00,7.71,7.74,7.61,7.7
polkadot,2025-01-06,16:00:00,7.7,7.88,7.62,7.88
polkadot,2025-01-06,20:00:00,7.87,7.97,7.73,7.82
ripple,2024-12-31,00:00:00,2.1,2.13,2.05,2.06
ripple,2024-12-31,04:00:00,2.06,2.06,2.02,2.02
ripple,2024-12-31,08:00:00,2.02,2.03,2.02,2.03
ripple,2024-12-31,12:00:00,2.03,2.09,2.03,2.08
ripple,2024-12-31,16:00:00,2.07,2.14,2.07,2.13
ripple,2024-12-31,20:00:00,2.13,2.13,2.07,2.09
ripple,2025-01-01,00:00:00,2.09,2.1,2.08,2.08
ripple,2025-01-01,04:00:00,2.08,2.11,2.08,2.1
ripple,2025-01-01,08:00:00,2.1,2.14,2.1,2.13
ripple,2025-01-01,12:00:00,2.12,2.13,2.09,2.13
ripple,2025-01-01,16:00:00,2.13,2.21,2.13,2.21
ripple,2025-01-01,20:00:00,2.22,2.32,2.22,2.31
ripple,2025-01-02,00:00:00,2.31,2.35,2.3,2.32
ripple,2025-01-02,04:00:00,2.33,2.44,2.33,2.42
ripple,2025-01-02,08:00:00,2.42,2.42,2.35,2.36
ripple,2025-01-02,12:00:00,2.36,2.41,2.36,2.4
ripple,2025-01-02,16:00:00,2.4,2.42,2.38,2.4
ripple,2025-01-02,20:00:00,2.4,2.43,2.39,2.4
ripple,2025-01-03,00:00:00,2.4,2.41,2.38,2.4
ripple,2025-01-03,04:00:00,2.4,2.46,2.4,2.46
ripple,2025-01-03,08:00:00,2.46,2.46,2.41,2.41
ripple,2025-01-03,12:00:00,2.41,2.43,2.41,2.42
ripple,2025-01-03,16:00:00,2.41,2.44,2.4,2.44
ripple,2025-01-03,20:00:00,2.44,2.47,2.44,2.47
ripple,2025-01-04,00:00:00,2.46,2.46,2.45,2.45
ripple,2025-01-04,04:00:00,2.45,2.49,2.44,2.47
ripple,2025-01-04,08:00:00,2.47,2.47,2.45,2.45
ripple,2025-01-04,12:00:00,2.45,2.45,2.43,2.44
ripple,2025-01-04,16:00:00,2.44,2.46,2.41,2.41
ripple,2025-01-04,20:00:00,2.41,2.43,2.41,2.42
ripple,2025-01-05,00:00:00,2.42,2.44,2.42,2.42
ripple,2025-01-05,04:00:00,2.42,2.43,2.38,2.39
ripple,2025-01-05,08:00:00,2.39,2.41,2.39,2.4
ripple,2025-01-05,12:00:00,2.4,2.4,2.34,2.35
ripple,2025-01-05,16:00:00,2.35,2.38,2.35,2.37
ripple,2025-01-05,20:00:00,2.37,2.41,2.36,2.39
ripple,2025-01-06,00:00:00,2.39,2.41,2.39,2.4
ripple,2025-01-06,04:00:00,2.4,2.43,2.38,2.41
ripple,2025-01-06,08:00:00,2.41,2.42,2.4,2.4
ripple,2025-01-06,12:00:00,2.39,2.4,2.38,2.4
ripple,2025-01-06,16:00:00,2.4,2.45,2.38,2.44
ripple,2025-01-06,20:00:00,2.44,2.45,2.41,2.43
solana,2024-12-31,00:00:00,195.93,196.17,188.69,190.7
solana,2024-12-31,04:00:00,190.95,191.33,188.63,189.7
solana,2024-12-31,08:00:00,189.77,190.12,188.16,189.69
solana,2024-12-31,12:00:00,189.69,194.43,189.69,193.67
solana,2024-12-31,16:00:00,193.6,198.06,192.89,197.95
solana,2024-12-31,20:00:00,198.04,198.44,193.2,193.64
solana,2025-01-01,00:00:00,193.85,194.43,189.15,189.45
solana,2025-01-01,04:00:00,189.13,192.42,189.13,190.02
solana,2025-01-01,08:00:00,189.97,190.03,189.01,189.76
solana,2025-01-01,12:00:00,189.6,191.22,187.83,190.99
solana,2025-01-01,16:00:00,190.98,191.39,189.13,191.19
solana,2025-01-01,20:00:00,191.62,193.18,189.03,193.01
solana,2025-01-02,00:00:00,192.9,194.86,192.9,193.65
solana,2025-01-02,04:00:00,193.88,198.9,193.51,198.19
